n	version1	version2	version3	version4
337	5.432e-03	1.671e-02	3.997e-03	3.262e-03
338	5.419e-03	1.676e-02	3.938e-03	3.214e-03
339	5.463e-03	1.676e-02	3.971e-03	3.207e-03
340	5.422e-03	1.677e-02	3.976e-03	3.243e-03
341	5.444e-03	1.666e-02	3.948e-03	3.218e-03
342	5.425e-03	1.669e-02	3.961e-03	3.205e-03
343	5.402e-03	1.674e-02	3.937e-03	3.172e-03
344	5.421e-03	1.667e-02	3.937e-03	3.206e-03
345	5.401e-03	1.670e-02	4.002e-03	3.214e-03
346	5.397e-03	1.673e-02	3.984e-03	3.163e-03
347	5.438e-03	1.672e-02	3.936e-03	3.219e-03
348	5.420e-03	1.671e-02	3.941e-03	3.216e-03
349	5.412e-03	1.667e-02	3.944e-03	3.241e-03
350	5.383e-03	1.672e-02	3.952e-03	3.243e-03
351	5.409e-03	1.673e-02	3.939e-03	3.195e-03
352	5.427e-03	1.669e-02	3.947e-03	3.203e-03
353	5.429e-03	1.671e-02	3.942e-03	3.204e-03
354	5.389e-03	1.677e-02	3.934e-03	3.166e-03
355	5.422e-03	1.667e-02	3.958e-03	3.236e-03
356	5.394e-03	1.670e-02	3.947e-03	3.201e-03
357	5.420e-03	1.668e-02	3.946e-03	3.197e-03
358	5.406e-03	1.674e-02	3.993e-03	3.241e-03
359	5.416e-03	1.673e-02	3.951e-03	3.169e-03
360	5.407e-03	1.667e-02	3.939e-03	3.204e-03
361	5.377e-03	1.668e-02	3.945e-03	3.203e-03
362	5.426e-03	1.676e-02	3.955e-03	3.191e-03
363	5.415e-03	1.667e-02	3.986e-03	3.228e-03
364	5.409e-03	1.671e-02	3.940e-03	3.225e-03
365	5.432e-03	1.672e-02	3.939e-03	3.205e-03
366	5.416e-03	1.670e-02	3.934e-03	3.247e-03
367	5.433e-03	1.702e-02	4.076e-03	3.221e-03
368	5.533e-03	1.669e-02	3.970e-03	3.219e-03
369	5.425e-03	1.677e-02	4.004e-03	3.266e-03
370	5.426e-03	1.666e-02	3.960e-03	3.232e-03
371	5.424e-03	1.668e-02	4.046e-03	3.226e-03
372	5.405e-03	1.671e-02	4.004e-03	3.232e-03
373	5.449e-03	1.669e-02	3.957e-03	3.282e-03
374	5.421e-03	1.670e-02	3.992e-03	3.252e-03
375	5.450e-03	1.666e-02	3.954e-03	3.208e-03
376	5.425e-03	1.672e-02	3.940e-03	3.205e-03
377	5.386e-03	1.673e-02	3.950e-03	3.200e-03
378	5.416e-03	1.666e-02	3.960e-03	3.219e-03
379	5.416e-03	1.673e-02	3.938e-03	3.229e-03
380	5.417e-03	1.680e-02	3.940e-03	3.172e-03
381	5.378e-03	1.669e-02	3.942e-03	3.236e-03
382	5.598e-03	1.671e-02	3.953e-03	3.263e-03
383	5.432e-03	1.671e-02	3.956e-03	3.206e-03
384	5.406e-03	1.675e-02	3.960e-03	3.218e-03
385	5.425e-03	1.674e-02	3.987e-03	3.170e-03
386	5.482e-03	1.669e-02	3.937e-03	3.202e-03
387	5.390e-03	1.670e-02	3.934e-03	3.198e-03
388	5.428e-03	1.666e-02	4.040e-03	3.276e-03
389	5.472e-03	1.662e-02	4.051e-03	3.300e-03
390	5.426e-03	1.680e-02	4.025e-03	3.269e-03
391	5.511e-03	1.671e-02	4.044e-03	3.546e-03
392	5.500e-03	1.676e-02	4.012e-03	3.247e-03
393	5.864e-03	1.688e-02	4.039e-03	3.270e-03
394	5.477e-03	1.664e-02	4.087e-03	3.244e-03
395	5.528e-03	1.664e-02	4.035e-03	3.272e-03
396	5.463e-03	1.664e-02	4.042e-03	3.264e-03
397	5.494e-03	1.662e-02	4.033e-03	3.285e-03
398	5.467e-03	1.662e-02	4.051e-03	3.263e-03
399	5.492e-03	1.665e-02	4.077e-03	3.291e-03
400	5.481e-03	1.669e-02	4.046e-03	3.393e-03
401	5.498e-03	1.670e-02	4.033e-03	3.260e-03
402	5.490e-03	1.669e-02	3.999e-03	3.242e-03
403	5.505e-03	1.677e-02	4.073e-03	3.242e-03
404	5.482e-03	1.670e-02	3.959e-03	3.220e-03
405	5.423e-03	1.673e-02	3.969e-03	3.241e-03
406	5.467e-03	1.674e-02	3.961e-03	3.247e-03
407	5.429e-03	1.674e-02	3.964e-03	3.229e-03
408	5.406e-03	1.678e-02	4.079e-03	3.278e-03
409	5.512e-03	1.682e-02	3.997e-03	3.271e-03
410	5.467e-03	1.677e-02	4.036e-03	3.241e-03
411	5.521e-03	1.657e-02	4.044e-03	3.270e-03
